Cafe Name,Location,Open,Close,Coffee,Wifi,Power
Lighthaus,https://goo.gl/maps/2EvhB4oq4gyUXKXx9,11AM, 3:30PM,â˜•â˜•â˜•â˜•ï¸,ğŸ’ªğŸ’ª,ğŸ”ŒğŸ”ŒğŸ”Œ
Esters,https://goo.gl/maps/13Tjc36HuPWLELaSA,8AM,3PM,â˜•â˜•â˜•â˜•,ğŸ’ªğŸ’ªğŸ’ª,ğŸ”Œ
Ginger & White,https://goo.gl/maps/DqMx2g5LiAqv3pJQ9,7:30AM,5:30PM,â˜•â˜•â˜•,âœ˜,ğŸ”Œ
Mare Street Market,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,8AM,1PM,â˜•â˜•,ğŸ’ªğŸ’ªğŸ’ª,ğŸ”ŒğŸ”ŒğŸ”Œ
jsjsjsjsjs Kawka,"https://www.google.pl/maps/place/Cafe+Kawka/@51.882566,17.0693551,7z/data=!4m10!1m2!2m1!1skawka!3m6!1s0x473de54a3f027a7b:0xf21c2f6ac7a96ae8!8m2!3d49.6203667!4d20.6948108!15sCgVrYXdrYVoHIgVrYXdrYZIBBGNhZmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTm9iRFJ0T1U1UkVBReABAA!16s%2Fg%2F1tdxd19c?entry=ttu&g_ep=EgoyMDI0MDkwOC4wIKXMDSoASAFQAw%3D%3D",9AM,7PM,â˜•ï¸ â˜•ï¸ â˜•ï¸,ğŸ’ª ğŸ’ª,âœ˜
Fajna Kawka2,https://www.google.pl/maps/pla,9AM,7PM,â˜•ï¸ â˜•ï¸ â˜•ï¸ â˜•ï¸ â˜•ï¸,ğŸ’ª ğŸ’ª ğŸ’ª,ğŸ”Œ ğŸ”Œ
Fajna Kawka3,"https://www.google.pl/maps/place/Cafe+Kawka/@51.882566,17.0693551,7z/data=!4m10!1m2!2m1!1skawka!3m6!1s0x473de54a3f027a7b:0xf21c2f6ac7a96ae8!8m2!3d49.6203667!4d20.6948108!15sCgVrYXdrYVoHIgVrYXdrYZIBBGNhZmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTm9iRFJ0T1U1UkVBReABAA!16s%2Fg%2F1tdxd19c?entry=ttu&g_ep=EgoyMDI0MDkwOC4wIKXMDSoASAFQAw%3D%3D",9AM,7PM,â˜•ï¸ â˜•ï¸ â˜•ï¸,ğŸ’ª ğŸ’ª,âœ˜
Wypiekarnia,"https://www.google.pl/maps/place/Wypiekarnia/@50.0258393,21.9923156,17z/data=!3m1!4b1!4m6!3m5!1s0x473cfbacc3102111:0xf9517b17e1d92e6!8m2!3d50.0258393!4d21.9948905!16s%2Fg%2F11c1sk00c7?entry=ttu&g_ep=EgoyMDI0MDkwOS4wIKXMDSoASAFQAw%3D%3D",8AM,6PM,â˜•ï¸ â˜•ï¸ â˜•ï¸,ğŸ’ª ğŸ’ª ğŸ’ª ğŸ’ª,ğŸ”Œ ğŸ”Œ ğŸ”Œ ğŸ”Œ
Warsztat Pizza,"https://www.google.pl/maps/place/Warsztat+Pizza/@50.0383756,21.9820566,17z/data=!3m1!4b1!4m6!3m5!1s0x473cfb0828692125:0xa9bc56fd1a64a9e4!8m2!3d50.0383756!4d21.9846315!16s%2Fg%2F11dd_m2vrj?entry=ttu&g_ep=EgoyMDI0MDkwOS4wIKXMDSoASAFQAw%3D%3D",8AM,6PM,â˜•ï¸ â˜•ï¸ â˜•ï¸,ğŸ’ª ğŸ’ª,ğŸ”Œ ğŸ”Œ ğŸ”Œ
Wisienka - Bar Restauracja,"https://www.google.pl/maps/place/Wisienka+-+Bar+Restauracja/@50.250742,21.7866404,17z/data=!3m1!4b1!4m6!3m5!1s0x473d18fc6a9298bd:0xd770b959cca142bd!8m2!3d50.250742!4d21.7892153!16s%2Fg%2F11dfqsxgr4?entry=ttu&g_ep=EgoyMDI0MDkwOS4wIKXMDSoASAFQAw%3D%3D","4,3",20â€“40 zÅ‚,8AM,6PM,â˜•ï¸ â˜•ï¸ â˜•ï¸ â˜•ï¸,ğŸ’ª ğŸ’ª ğŸ’ª,ğŸ”Œ ğŸ”Œ,spoko
Pizzeria Klan,"https://www.google.pl/maps/place/Pizzeria+Klan/@50.2425566,21.7689885,17z/data=!3m1!4b1!4m6!3m5!1s0x473d19a9d6c82b1d:0x7e00626bcfa41601!8m2!3d50.2425566!4d21.7715634!16s%2Fg%2F1tj2gnlx?entry=ttu&g_ep=EgoyMDI0MDkwOS4wIKXMDSoASAFQAw%3D%3D","4,3",$,8AM,6PM,â˜•ï¸ â˜•ï¸ â˜•ï¸,ğŸ’ª ğŸ’ª,ğŸ”Œ ğŸ”Œ,Super pizzunia
Palce lizaÄ‡ - Kawiarnia i lodziarnia,"https://www.google.pl/maps/place/Palce+liza%C4%87+-+Kawiarnia+i+lodziarnia/@50.0381579,22.0001502,17z/data=!3m1!4b1!4m6!3m5!1s0x473cfb020c4fe50b:0x24cc007a666e75bd!8m2!3d50.0381579!4d22.0027251!16s%2Fg%2F11d_8m0sqw?entry=ttu&g_ep=EgoyMDI0MDkwOS4wIKXMDSoASAFQAw%3D%3D","4,4",$$,8AM,6PM,â˜•ï¸,ğŸ’ª ğŸ’ª ğŸ’ª ğŸ’ª,ğŸ”Œ ğŸ”Œ ğŸ”Œ ğŸ”Œ ğŸ”Œ,gggg
